Albedo Texture,Normal Texture
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_junggl_plant_D_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2,T_cm_DefaultNormal_a_01_dn 	
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_junggl_plant_D_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_D_dn2 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_jungle_plant_E_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_E_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_E_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_E_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_H_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_junggl_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_F_06_jungle_plant_I_dn 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no 	
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no 	
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no
T_F_06_jungle_plant_A_dn 	,T_Foliage_Desert02_MS_no
T_F_06_jungle_plant_A_dn 	,T_Foliage_Desert02_MS_no
T_Navara_Foliage_BushTree01_D 	,T_cm_DefaultNormal_a_01_dn
T_Navara_Foliage_BushTree01_D 	,T_cm_DefaultNormal_a_01_dn
T_Navara_Foliage_BushTree01_D 	,T_cm_DefaultNormal_a_01_dn
T_Navara_Foliage_BushTree01_D 	,T_cm_DefaultNormal_a_01_dn
T_F_06_midtree_D_D 	,T_F_06_midtree_A_no 	
T_F_06_midtree_B_dn 	,T_F_06_midtree_A_no 	
T_Foliage_Plan01_D_KMS 	,T_Foliage_Desert02_MS_no 	
T_Common_Object_Foliage_dark_D 	,T_cm_DefaultNormal_a_01_dn
LV_Gnollando_Tree_PalmTree01Bark_D_NWCEVA,LV_Gnollando_Tree_PalmTree01Bark_N_NWCEVA 	
LV_Gnollando_Tree_PalmTree01Leaf_D_NWCEVA 	,T_cm_DefaultNormal_a_01_dn 	
LV_Gnollando_Tree_PalmTree01Leaf_D_NWCEVA 	,T_cm_DefaultNormal_a_01_dn 	
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn
T_LV_Navarra_Foliage_FlowerPot_dn 	,T_cm_DefaultNormal_a_01_dn
T_Neutral_Foliage_LuminousPlants02_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Neutral_Foliage_LuminousPlants02_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Plant_Vine_01_dn 	,T_Plant_Vine_01_no 	
T_Plant_Vine_01_dn,T_Plant_Vine_01_no 	
T_Plant_Vine_01_dn 	,T_Plant_Vine_01_no 	
T_Plant_Vine_01_dn,T_Plant_Vine_01_no 	
T_Plant_Vine_01_dn 	,T_Plant_Vine_01_no 	
T_pve_15_plant_A_dn 	,T_Foliage_Desert02_MS_no
T_pve_15_plant_B_dn 	,T_Foliage_Desert02_MS_no
T_pve_15_plant_A_dn 	,T_Foliage_Desert02_MS_no
T_Shakara_Foliage_DryBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Shakara_Foliage_DryBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Shakara_Foliage_DryBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Shakara_Foliage_DryBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Shakara_Foliage_DryBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Shakara_Foliage_DryBush01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Tree_Vine01_D 	,T_Foliage_Desert02_MS_no
T_Tree_Vine02_D 	,T_Foliage_Desert02_MS_no
LV_Turtlelake_Foliage_Bush01_D_HMJ 	,T_cm_DefaultNormal_a_01_dn 	
LV_Turtlelake_Foliage_Bush01_D_HMJ 	,T_cm_DefaultNormal_a_01_dn 	
T_VarietyPlants01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_VarietyPlants01_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Vine_D 	,T_Foliage_Desert02_MS_no
NoTexture 	,T_cm_DefaultNormal_a_01_dn 	
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
T_Foliage_D 	,T_cm_DefaultNormal_a_01_dn
Aset_L_rbewF_4K_Albedo,Aset_L_rbewF_4K_Normal_LOD5 	
Aset_M_rbixP_4K_Albedo,Aset_M_rbixP_4K_Normal_LOD5 	
Aset_qkduW_4K_Albedo,Aset_qkduW_4K_Normal_LOD5 	
Aset_qkduW_4K_Albedo,T_cm_DefaultNormal_a_01_dn 	
Aset_qkduW_4K_Albedo,Aset_qkduW_4K_Normal_LOD5 	
Aset_rock_sandstone_M_pjhuB_2K_Albedo,Aset_rock_sandstone_M_pjhuB_2K_Normal_LOD1 	
Aset_rock_sandstone_M_rjBrt_2K_Albedo,Aset_rock_sandstone_M_rjBrt_2K_Normal_LOD4 	
Aset_rock_sandstone_M_rkctj_2K_Albedo,Aset_rock_sandstone_M_rkctj_2K_Normal_LOD3 	
T_Mega_wood_log_M_qdtdP_D,Aset_wood_log_M_qdtdP_1K_Normal_LOD2 	
T_Mega_wood_log_M_qdtdP_D1,T_Mega_wood_log_M_qdtdP_N1 	
Aset_rock_volcanic_M_qcvtb_2K_Albedo,Aset_rock_volcanic_M_qcvtb_2K_Normal_LOD4 	
Aset_rock_volcanic_M_qfjwU_2K_Albedo,Aset_rock_volcanic_M_qfjwU_2K_Normal_LOD3 	
Aset_wood_tree_L_qlEtl_2K_Albedo,Aset_wood_tree_L_qlEtl_2K_Normal_LOD5 	
Aset_wood_tree_L_qlEtl_2K_Albedo,Aset_wood_tree_L_qlEtl_2K_Normal_LOD5 	
Aset_wood_tree_L_qlEtl_2K_Albedo,Aset_wood_tree_L_qlEtl_2K_Normal_LOD5 	
Aset_qjfdg_1K_Albedo,Aset_rock_volcanic_S_qjfdg_1K_Normal_LOD4 	
Aset_rock_sandstone_M_ogyvN_1K_Albedo,Aset_rock_sandstone_M_ogyvN_1K_Normal_LOD4 	
Aset_rock_sandstone_M_ogyvN_1K_Albedo,Aset_rock_sandstone_M_ogyvN_1K_Normal_LOD4 	
Aset_rock_sandstone_M_ogyvN_1K_Albedo 	,Aset_rock_sandstone_M_ogyvN_1K_Normal_LOD4 	
Aset_rock_sandstone_M_ogyvN_1K_Albedo 	,Aset_rock_sandstone_M_ogyvN_1K_Normal_LOD4 	
Aset_rock_sandstone_M_ogyvN_1K_Albedo,Aset_rock_sandstone_M_ogyvN_1K_Normal_LOD4 	
Aset_rock_sandstone_M_ogyvN_1K_Albedo 	,Aset_rock_sandstone_M_ogyvN_1K_Normal_LOD4 	
Aset_wood_log_M_phyr5_1K_Albedo,Aset_wood_log_M_phyr5_1K_Normal_LOD4 	
Aset_wood_log_M_phyr5_1K_Albedo,Aset_wood_log_M_phyr5_1K_Normal_LOD4 	
Aset_wood_log_M_qdhxa_1K_Albedo,Aset_wood_log_M_qdhxa_1K_Normal_LOD3 	
Aset_wood_log_M_qdhxa_1K_Albedo,Aset_wood_log_M_qdhxa_1K_Normal_LOD3 	
T_Aset_wood_tree_D,T_Aset_wood_tree_M_qegv0_LOD1_N 	
T_Aset_wood_tree_1D,T_Aset_wood_tree_1N 	
T_Aset_wood_tree_D,T_Aset_wood_tree_M_qegv0_LOD1_N 	
T_Aset_wood_tree_D,T_Aset_wood_tree_M_qegv0_LOD1_N 	
T_Aset_wood_tree_D,T_Aset_wood_tree_M_qegv0_LOD1_N 	
T_Aset_wood_tree_M_qegv0_LOD1_D,T_Aset_wood_tree_M_qegv0_LOD1_N 	
T_Aset_wood_tree_M_qegv0_LOD1_D,T_Aset_wood_tree_M_qegv0_LOD1_N 	
T_Cliff_Face_02_D,T_Cliff_Face_02_N 	
T_Cliff_Face_02_D,T_Cliff_Face_02_N 	
T_Cliff_Face_02_D,T_Cliff_Face_02_N 	
T_Cliff_Face_02_1_D,T_Cliff_Face_02_1_N 	
T_Cliff_Face_02_1_D,T_Cliff_Face_02_1_N 	
T_Cliff_Face_02_1_D,T_Cliff_Face_02_1_N 	
T_Cliff_Face_02_D,T_Cliff_Face_02_N 	
T_Cliff_Face_02_1_D,T_Cliff_Face_02_1_N 	
LV_M5_M5City_WoodBox_D_KHJ,DefaultDiffuse 	
T_ArbaJungle_Object_DinosaurSkeletons04_01_dn,T_ArbaJungle_Object_DinosaurSkeletons04_01_no 	
T_ArbaJungle_Object_DinosaurSkeletons04_01_dn,T_ArbaJungle_Object_DinosaurSkeletons04_01_no 	
T_ArbaJungle_Object_DinosaurSkeletons04_01_1_dn,T_ArbaJungle_Object_DinosaurSkeletons04_01_1_no 	
LV_Common_Object_A_AssemblyWoodChair_D_CNH,LV_Common_Object_A_AssemblyWoodChair_N_CNH 	
LV_DeadForest_LavenTown_Gate_D_LYW,LV_DeadForest_LavenTown_Gate_N_LYW 	
LV_PadanaRuins_Village_RefugeeCamp01_D_LHJ,LV_PadanaRuins_Village_RefugeeCamp01_N_LHJ 	
LV_PadanaRuins_Village_RefugeeCamp01_D_LHJ,LV_PadanaRuins_Village_RefugeeCamp01_N_LHJ 	
T_Alcedonia_Object_Flag01_CYN_D 	,T_cm_DefaultNormal_a_01_dn 	
T_AncientTower_Object_BlackSun_D,T_AncientTower_Object_BlackSun_N 	
T_AncientTower_Object_BlackSun_D 	,T_AncientTower_Object_BlackSun_N 	
T_ArbaJungle_Object_DSdeco03_01_dn,T_ArbaJungle_Object_DSdeco03_01_no 	
SM_bigtree_A_Tent_dn,SM_bigtree_A_Tent_no 	
T_BLESS_Prop_pack_D 	,T_cm_DefaultNormal_a_01_dn 	
T_BLESS_Prop_pack_D 	,T_cm_DefaultNormal_a_01_dn 	
T_BLESS_Prop_pack_D,T_cm_DefaultNormal_a_01_dn 	
T_BLESS_Prop_pack_D,T_cm_DefaultNormal_a_01_dn 	
T_BranForest_Camp_TreeEntranceDeco_D,T_BranForest_Camp_TreeEntranceDeco_N 	
T_Branforest_Object_WoodFence_D,T_Branforest_Object_WoodFence_N 	
T_Branforest_Object_WoodFence_D,T_Branforest_Object_WoodFence_N 	
T_Brazier01_LHS_dn 	,T_Brazier01_LHS_no 	
T_Brazier01_LHS_dn,T_cm_DefaultNormal_a_01_dn 	
T_Bugara_Object_QuatranStatue_D,T_Bugara_Object_QuatranStatue_N 	
T_Bugara_Object_QuatranStatue_D,T_Bugara_Object_QuatranStatue_N 	
DLV_Campagna_MoleCricketsDenEgg05_SM_EYE_dn,DLV_Campagna_MoleCricketsDenEgg05_SM_EYE_no 	
T_Castle_Wagon_01_YN_dn,T_Castle_Wagon_01_YN_no 	
T_cm_AlbShip_a_dn 	,T_cm_AlbShip_a_no
T_cm_AlbShip_a_dn,T_cm_AlbShip_a_no 	
T_Common_Deco_B_Sundries02_D,T_cm_DefaultNormal_a_01_dn 	
T_common_mushtree_A_dn,T_common_mushtree_A_no 	
T_common_mushtree_B_dn,T_common_mushtree_B_no 	
T_Common_Object_CorpseSet01_D,T_Common_Object_CorpseSet01_N 	
T_Spechia_Object_Crane02A_LHS_D,T_Spechia_Object_Crane02A_LHS_N 	
T_common_smrock_A_dn,T_common_smrock_A_no 	
T_Common_Structure_WoodBridge01,T_cm_DefaultNormal_a_01_dn 	
T_Common_Structure_WoodBridge01,T_cm_DefaultNormal_a_01_dn 	
T_Common_Structure_WoodBridge01,T_cm_DefaultNormal_a_01_dn 	
T_Common_Structure_WoodBridge01 	,T_DeadMine_Object_WoodWall_N 	
T_HarvartyVillage_Ruin_Building_D,T_HarvartyVillage_Ruin_Building_N 	
T_HarvartyVillage_Ruin_Building_D,T_HarvartyVillage_Ruin_Building_N 	
T_Cornus_Object_Scarecrow_Target_dn,T_Cornus_Object_Scarecrow_Target_no 	
T_Coruns_Tile_Rock03_D,LV_Coruns_Tile_Rock03_2_N_AHH 	
T_Coruns_Tile_Rock03_D,LV_Coruns_Tile_Rock03_2_N_AHH 	
T_Cornus_Object_WyvernEgg_D,T_Cornus_Object_WyvernEgg_N 	
T_Cornus_Object_WyvernEgg_D,T_Cornus_Object_WyvernEgg_N 	
T_DeadForest_LavenTown_Board_dn,T_DeadForest_LavenTown_Board_no 	
T_DeadForest_LavenTown_Gate_D,T_cm_DefaultNormal_a_01_dn 	
T_DeadForest_LavenTown_Gate_D,T_cm_DefaultNormal_a_01_dn 	
T_DeadForest_NiarrenTown_BrokenBoard_D,T_DeadForest_NiarrenTown_BrokenBoard_N 	
LV_DeadForest_Object_A_Sundries01A_D,LV_DeadForest_Object_A_Sundries01A_N 	
T_DeadMine_Object_StreetLight01_SM_KHJ_dn,T_DeadMine_Object_StreetLight01_SM_KHJ_no 	
T_DeadMine_Object_StreetLight01_SM_KHJ_dn 	,T_DeadMine_Object_StreetLight01_SM_KHJ_no 	
T_DeadMine_Object_StreetLight01_SM_KHJ_dn 	,T_DeadMine_Object_StreetLight01_SM_KHJ_no 	
T_DeadMine_Object_WoodWall_D,T_DeadMine_Object_WoodWall_N 	
T_decoob_cart_A_dn,T_decoob_cart_A_no 	
T_DesertValley_OgresCamp01_dn 	,T_DesertValley_OgresCamp01_no 	
T_DLV_Migdal_Prop_Rostrum_KMS_dn,T_DLV_Migdal_Prop_Rostrum_KMS_no 	
T_Common_Object_Corpse01_D,T_Common_Object_Corpse01_N 	
T_Common_Object_Corpse01_D,T_Common_Object_Corpse01_N 	
T_FlagRope_01_YN_dn,T_FlagRope_01_YN_no 	
T_F_06_bdtower_A_dn 	,T_F_06_bdtower_A_no
T_F_06_biggate_A_dn 	,T_F_06_biggate_A_no
T_F_06_block_A_dn,T_F_06_block_A_no 	
T_F_06_block_A_dn,T_F_06_block_A_no 	
T_F_06_block_A_dn,T_F_06_block_A_no 	
T_F_06_block_A_dn,T_F_06_block_A_no 	
T_F_06_block_A_dn,T_F_06_block_A_no 	
T_F_06_block_B_dn,T_F_06_block_B_no 	
T_F_06_block_B_dn,T_F_06_block_B_no 	
T_F_06_block_B_dn,T_F_06_block_B_no 	
T_F_06_block_B_dn,T_F_06_block_B_no 	
T_F_06_block_B_dn,T_F_06_block_B_no 	
T_F_06_block_B_dn,T_F_06_block_B_no 	
T_F_06_block_B_dn 	,T_F_06_block_B_no 	
T_F_06_block_B_dn,T_F_06_block_B_no 	
T_F_06_block_C_dn,T_F_06_block_C_no 	
T_F_06_block_C_dn,T_F_06_block_C_no 	
T_F_06_block_C_dn,T_F_06_block_C_no 	
T_F_06_block_C_dn,T_cm_DefaultNormal_a_01_dn 	
T_F_06_block_C_dn,T_cm_DefaultNormal_a_01_dn 	
T_F_06_block_C_dn 	,T_F_06_block_C_no 	
T_F_06_building_A_dn,T_F_06_building_A_no 	
T_F_06_building_B_dn,T_F_06_building_B_no 	
T_F_06_deco_box_A_dn,T_F_06_deco_box_A_no 	
T_F_06_deco_box_A_dn 	,T_F_06_deco_box_A_no 	
T_F_06_Maketprop_A_dn,T_F_06_Maketprop_A_no 	
T_F_06_roadbrick_A_dn,T_F_06_roadbrick_A_no 	
T_F_06_roadbrick_A_dn,T_F_06_roadbrick_A_no 	
T_F_06_roadbrick_A_dn,T_F_06_roadbrick_A_no 	
T_F_06_tp2stair_A_dn,T_F_06_tp2stair_A_no 	
T_F_06_tp2stair_A_dn,T_F_06_tp2stair_A_no 	
T_F_06_woodbridge_C_dn 	,T_F_06_woodbridge_C_no
T_F_06_woodbridge_D_dn 	,T_F_06_woodbridge_D_no
T_F_06_woodgate_A_dn 	,T_F_06_woodgate_A_no
T_Goblin_ChiefHouseBrazier01_LHS_dn,T_Goblin_ChiefHouseBrazier01_LHS_no 	
T_GrassLand_MartaCity_flag02 	,T_cm_DefaultNormal_a_01_dn 	
T_ground_brick_A_dn,T_ground_brick_A_no 	
T_groundbrick_B_dn,T_groundbrick_B_no 	
T_groundbrick_B_dn,T_groundbrick_B_no 	
T_groundbrick_B_dn,T_groundbrick_B_no 	
T_gr_brick_A_dn,T_gr_brick_A_no 	
T_gr_brick_A_dn,T_gr_brick_A_no 	
T_gr_brick_A_dn,T_gr_brick_A_no 	
T_Hieracon_Object_Flag_dn 	,T_Hieracon_Object_Flag_no 	
T_LampBox01_YN_dn 	,T_LampBox01_YN_no 	
T_LampBox01_YN_dn 	,T_LampBox01_YN_no 	
LV_Campagna_Dock_DockBridge01_D_SVR,LV_Campagna_Dock_DockBridge01_N_SVR 	
T_LV_Campagna_CityHouse_BlackSmith01_dn 	,T_LV_Campagna_CityHouse_BlackSmith01_no
T_LV_DesertValley_HarpyRavine_MascuStair01_SM_JJY_dn,T_LV_DesertValley_HarpyRavine_MascuStair01_SM_JJY_no 	
T_LV_DesertValley_Rampart_BigStair01_SM_CJH_dn,T_LV_DesertValley_Rampart_BigStair01_SM_CJH_no 	
T_LV_DesertValley_Rampart_BigStair01_SM_CJH_dn,T_LV_DesertValley_Rampart_BigStair01_SM_CJH_no 	
T_LV_DesertValley_Rampart_BigStair01_SM_CJH_dn,T_LV_DesertValley_Rampart_BigStair01_SM_CJH_no 	
T_LV_DesertValley_Rampart_BigStair01_SM_CJH_dn,T_LV_DesertValley_Rampart_BigStair01_SM_CJH_no 	
LV_ElRano_City_Dock01_D_KJY,LV_ElRano_City_Dock01_N_KJY 	
T_LV_ElRano_City_PortSet01_dn 	,T_LV_ElRano_City_PortSet01_no
T_LV_Floreen_StoneFit01_dn,T_LV_Floreen_StoneFit03_no 	
T_MERGED_LV_M5_Port_FishingMarket02_SM_KHJ_119_dn,T_MERGED_LV_M5_Port_FishingMarket02_SM_KHJ_119_no 	
LV_Shakara_Hobgoblin_BossTent01_D_LYW,LV_Shakara_Hobgoblin_BossTent01_N_LYW 	
T_M5_M5City_MarketBooK01A_SM_JJY_dn 	,T_M5_M5City_MarketBooK01A_SM_JJY_no 	
T_M5_M5City_MarketBooK01A_SM_JJY_dn_1,T_cm_DefaultNormal_a_01_dn 	
T_MERGED_LV_Branforest_Object_WoodWay01_SM_KSR2_dn,T_MERGED_LV_Branforest_Object_WoodWay01_SM_KSR2_no 	
T_MERGED_LV_Branforest_Object_WoodWay01_SM_KSR2_dn,T_MERGED_LV_Branforest_Object_WoodWay01_SM_KSR2_no 	
T_MERGED_LV_Branforest_Object_WoodWay01_SM_KSR2_dn,T_MERGED_LV_Branforest_Object_WoodWay01_SM_KSR2_no 	
T_Object_Bonfire_01_dn,T_cm_DefaultNormal_a_01_dn 	
T_ockob_A_dn,T_ockob_A_no 	
T_ockob_A_dn,T_ockob_A_no 	
T_ockob_B_dn,T_ockob_B_no 	
T_Parasol_Tent_YN_dn,T_Parasol_Tent_YN_no 	
T_Saltus_Tree_SalTree_D,T_Saltus_Tree_SalTree_N 	
T_Common_Tent_A_SealedLandFlag_D,T_Common_Tent_A_SealedLandFlag_N 	
T_Shakara_Hobgoblin_symbol01_dn 	,T_Shakara_Hobgoblin_symbol01_no
T_signdecowood_A_dn,T_signdecowood_A_no 	
LV_SealedLand_Rock_SpiderBasaltCop01_D_KHJ_2 	,T_cm_DefaultNormal_a_01_dn
LV_SealedLand_Rock_SpiderBasaltCop01_dn 	,T_cm_DefaultNormal_a_01_dn
LV_SealedLand_Rock_SpiderBasaltCop01_dn2 	,T_cm_DefaultNormal_a_01_dn
T_Terny_Object_BrokenTent01_D,T_Terny_Object_BrokenTent01_N 	
T_Terny_Object_SpiderEgg01_SM_KJY_dn 	,T_Terny_Object_SpiderEgg01_SM_KJY_no 	
T_Tombstone_01_dn,T_Tombstone_01_no 	
T_Torch1_standalone_dn,T_Torch1_standalone_no 	
T_Totem_01_dn,T_Totem_01_no 	
T_Totem_01_stone_dn 	,T_Totem_01_stone_no
T_Totem_02_dn,T_Totem_02_no 	
T_Totem_01_stone_dn 	,T_Totem_01_stone_no
T_Totem_04_dn,T_Totem_04_no 	
T_MERGED_Aset_Prop02_dn 	,T_MERGED_Aset_Prop02_no
T_TurtleLake_Lakevillage_StoneWall02_SM_EYE_dn,T_TurtleLake_Lakevillage_StoneWall02_SM_EYE_no 	
LV_TurtleLake_Rock_StoneStair_D_EYE,LV_TurtleLake_Rock_StoneStair_N_EYE 	
LV_TurtleLake_Rock_StoneStair_D_EYE,LV_TurtleLake_Rock_StoneStair_N_EYE 	
LV_TurtleLake_Rock_StoneStair_D_EYE,LV_TurtleLake_Rock_StoneStair_N_EYE 	
LV_TurtleLake_Rock_StoneStair_D_EYE,LV_TurtleLake_Rock_StoneStair_N_EYE 	
LV_TurtleLake_Rock_StoneStair_D_EYE,LV_TurtleLake_Rock_StoneStair_N_EYE 	
LV_TurtleLake_Rock_StoneStair_D_EYE,LV_TurtleLake_Rock_StoneStair_N_EYE 	
LV_TurtleLake_Rock_StoneStair_D_EYE,LV_TurtleLake_Rock_StoneStair_N_EYE 	
LV_TurtleLake_Rock_StoneStair_D_EYE,LV_TurtleLake_Rock_StoneStair_N_EYE 	
T_LV_M5_Port_FishNet_dn,T_LV_M5_Port_FishNet_no 	
T_LV_Navarra_City_HorseAuctionTent01_dn,T_LV_Navarra_City_HorseAuctionTent01_no 	
T_wall_ob_A_dn,T_wall_ob_A_no 	
T_wall_ob_A_dn,T_cm_DefaultNormal_a_01_dn 	
T_Object_Flag02_LHS_dn 	,T_Object_Flag02_LHS_no 	
T_Aset_rivav_LOD5_dn,T_Aset_rivav_LOD5_no 	
T_Aset_rivav_LOD5_dn,T_Aset_rivav_LOD5_no 	
LV_GrassLand_Rock_StoneTable01_D_KMS,LV_GrassLand_Rock_StoneTable01_N_KMS 	
F04_Ground2 	,T_cm_DefaultNormal_a_01_dn
LV_GrassLand_Rock_StoneTable01_D_KMS,LV_GrassLand_Rock_StoneTable01_N_KMS 	
LV_GrassLand_Rock_StoneTable01_D_KMS,LV_GrassLand_Rock_StoneTable01_N_KMS 	
LV_GrassLand_Rock_StoneTable01_D_KMS,LV_GrassLand_Rock_StoneTable01_N_KMS 	
LV_GrassLand_Rock_StoneTable01_D_KMS,LV_GrassLand_Rock_StoneTable01_N_KMS 	
LV_DesertValley_Rock_Pattern02_D_JJY,LV_DesertValley_Rock_GRock01_N_JJY 	
LV_DesertValley_Rock_Pattern02_D_JJY 	,LV_DesertValley_Rock_GRock01_N_JJY
LV_DesertValley_Rock_Pattern02_D_JJY 	,LV_DesertValley_Rock_GRock01_N_JJY
LV_DesertValley_Rock_Pattern02_D_JJY,LV_DesertValley_Rock_GRock01_N_JJY 	
LV_DesertValley_Rock_Pattern02_D_JJY,LV_DesertValley_Rock_GRock01_N_JJY 	
LV_DesertValley_Rock_Pattern02_D_JJY,LV_DesertValley_Rock_GRock01_N_JJY 	
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_Neutral_Crater_A_Big_01_LHS_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_cm_DefaultNormal_a_01_dn
T_pve15_ter_B_D 	,T_pve15_ter_B_no
LV_GrassLand_Rock_BasicsRock01_D_KMS_2 	,LV_GrassLand_Rock_GriffonRock10_N_KMS
T_LV_NSaltus_Rock_CrystalRock02_SM_NWCNIK_dn,T_LV_NSaltus_Rock_CrystalRock02_SM_NWCNIK_no 	
T_LV_NSaltus_Rock_CrystalRock02_SM_NWCNIK_dn,T_LV_NSaltus_Rock_CrystalRock02_SM_NWCNIK_no 	
T_LV_NSaltus_Rock_CrystalRock02_SM_NWCNIK_dn,T_LV_NSaltus_Rock_CrystalRock02_SM_NWCNIK_no 	
